dataset,type,metric,silhouette,davies_bouldin,calinski_harabasz,adjusted_rand,adjusted_mutual_info,runtime,cluster_count,noise_count
iris,custom,euclidean,0.31990930643361615,4.577330501389551,73.18037548686458,1.0,1.0,0.006896257400512695,2,39
iris,sklearn,euclidean,-0.2749824842501352,2.4593092583611242,7.24189641881319,1.0,1.0,0.029239892959594727,6,102
ai_global_index,custom,precomputed,0.195356492866993,1.018347083746047,15.84602445684231,1.0,1.0,0.0019769668579101562,2,38
ai_global_index,sklearn,precomputed,0.2882526243856173,1.1470867759273502,21.61024306791711,1.0,1.0,0.017035961151123047,4,22
global_earthquake,custom,precomputed,0.1961787403860178,1.282326852563883,17.854237435162798,1.0,1.0,0.0020360946655273438,3,32
global_earthquake,sklearn,precomputed,0.24459259870808156,1.276425168852279,20.282946806587557,1.0,1.0,0.020764827728271484,4,24
