dataset,type,metric,silhouette,runtime,cluster_count,noise_count
earthquake,custom,euclidean,-0.25931344081306396,0.03751206398010254,11,964
earthquake,sklearn,euclidean,-0.25931344081306396,0.010841131210327148,11,964
