dataset,type,metric,silhouette,davies_bouldin,calinski_harabasz,runtime,cluster_count,noise_count
iris,custom,euclidean,0.3491981656526392,6.160798270187736,76.97588370544527,0.002862215042114258,2,35
iris,sklearn,euclidean,0.3491981656526392,6.160798270187736,76.97588370544527,0.0009851455688476562,2,35
ai_global_index,custom,precomputed,0.1804509348136241,0.9237884142930873,18.420523187657732,0.0005309581756591797,3,31
ai_global_index,sklearn,precomputed,,,,0.0007238388061523438,1,0
global_earthquake,custom,precomputed,0.17848356805245177,1.2121520754421806,22.01298860551548,0.007474184036254883,3,29
global_earthquake,sklearn,precomputed,,,,0.0008120536804199219,1,0
