,,Adjusted Rand Index (ARI),Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Homogeneity,Completeness,V-Measure,Number of Clusters,Runtime (s)
iris,Custom Agglomerative,0.9464323886639676,0.558164122034982,0.6277342636151994,218.64763137110606,0.8900039242634512,0.8900039242634512,0.8900039242634512,2,2.863995313644409
iris,Sklearn Agglomerative,1.0,0.580184463257396,0.5975546650809878,248.90342786485118,1.0,1.0,1.0,2,0.15482544898986816
ai_global_index,Custom Agglomerative,0.6479240364922734,0.6780959283483551,0.6378652246591447,30.088490936949945,0.7291878731870094,0.4224762998723958,0.5349903240586071,2,0.06700253486633301
ai_global_index,Sklearn Agglomerative,1.0,0.7358407911622495,0.1730858956119127,25.94792255616781,1.0,1.0,1.0,2,0.0569915771484375
global_earthquake,Custom Agglomerative,0.00857246502002005,0.01796948782854552,2.7186838768237664,61.3217340859358,0.2643799371576833,0.035818377019169005,0.06308936338556093,4,89.24768543243408
global_earthquake,Sklearn Agglomerative,1.0,0.4358086190031973,0.5418977125956228,56.98031570046465,1.0,1.0,1.0,4,0.01600193977355957
