,,Adjusted Rand Index (ARI),Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Homogeneity,Completeness,V-Measure,Number of Clusters,Runtime (s)
iris,Custom Agglomerative,0.9464323886639676,0.558164122034982,0.6277342636151994,218.64763137110606,0.8900039242634512,0.8900039242634512,0.8900039242634512,2,2.18237042427063
iris,Sklearn Agglomerative,1.0,0.580184463257396,0.5975546650809878,248.90342786485118,1.0,1.0,1.0,2,0.0
ai_global_index,Custom Agglomerative,0.6479240364922734,0.6780959283483551,0.6378652246591447,30.088490936949945,0.7291878731870094,0.4224762998723958,0.5349903240586071,2,0.15352320671081543
ai_global_index,Sklearn Agglomerative,1.0,0.7358407911622495,0.1730858956119127,25.94792255616781,1.0,1.0,1.0,2,0.0
global_earthquake,Custom Agglomerative,0.06035923319316183,-0.045037832194455764,3.137203449150146,115.2618058966783,0.3467874398812267,0.14181996989857867,0.20131247828322824,4,77.52079558372498
global_earthquake,Sklearn Agglomerative,1.0,0.7604170610168778,0.20422172295171614,978.236040438505,1.0,1.0,1.0,4,0.015283823013305664
