,,ARI,Silhouette,DBI,CHI,n_clusters
iris,Custom Affinity,1.0,0.580184463257396,0.5975546650809878,248.90342786485118,2
iris,Sklearn Affinity,1.0,0.580184463257396,0.5975546650809878,248.90342786485118,2
ai_global_index,Custom Affinity,0.014250771030522174,0.25620548782880315,0.8950974898601347,33.1685132410221,8
ai_global_index,Sklearn Affinity,0.014250771030522174,0.7358407911622495,0.1730858956119127,25.94792255616781,2
global_earthquake,Custom Affinity,0.9283020253576243,0.5845158319123437,0.43549878959890825,37.53539737611101,28
global_earthquake,Sklearn Affinity,0.9283020253576243,0.5051724365559515,0.49648251763049167,29.91851564870934,26
