,,threshold,branching_factor,n_clusters,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Adjusted Rand Index (ARI),Homogeneity,Completeness,V-Measure
global_earthquake,Best Parameters,2.0,5.0,3.0,,,,,,,
global_earthquake,Best Metrics,,,,0.19038440645016966,1.845943249364433,8.104089426098218,0.040836264335667984,0.15110843333628213,0.07329951843059396,0.09871464274899992
