,iris,ai_global_index,global_earthquake
best_k,3,3,5
best_metrics,"{'custom': {'silhouette': np.float64(0.5525919445499754), 'davies_bouldin': np.float64(0.6623228649898694), 'calinski_harabasz': np.float64(560.3999242466402), 'adjusted_rand_score': 0.7302382722834697, 'adjusted_mutual_info_score': np.float64(0.7551191675800482), 'mutual_info_score': np.float64(0.8255910976103356), 'labels': array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
       1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
       1, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
       0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
       0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 2, 2, 2,
       2, 2, 2, 0, 0, 2, 2, 2, 2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 2, 2, 2,
       2, 0, 2, 2, 2, 2, 0, 2, 2, 2, 0, 2, 2, 2, 0, 2, 2, 0]), 'centroids': array([[5.9016129 , 2.7483871 , 4.39354839, 1.43387097],
       [5.006     , 3.418     , 1.464     , 0.244     ],
       [6.85      , 3.07368421, 5.74210526, 2.07105263]])}, 'sklearn': {'silhouette': np.float64(0.550964374670744), 'davies_bouldin': np.float64(0.666391210710148), 'calinski_harabasz': np.float64(560.3660038653594), 'adjusted_rand_score': 0.7163421126838476, 'adjusted_mutual_info_score': np.float64(0.7386548254402865), 'mutual_info_score': np.float64(0.8090392795466592), 'labels': array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
       1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
       1, 1, 1, 1, 1, 1, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,
       2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,
       2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0,
       0, 0, 0, 2, 2, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0,
       0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2], dtype=int32), 'centroids': array([[6.85384615, 3.07692308, 5.71538462, 2.05384615],
       [5.006     , 3.418     , 1.464     , 0.244     ],
       [5.88360656, 2.74098361, 4.38852459, 1.43442623]])}}","{'custom': {'silhouette': np.float64(0.42667684331563516), 'davies_bouldin': np.float64(0.883355193898904), 'calinski_harabasz': np.float64(51.493975032785656), 'adjusted_rand_score': 0.11672838207809669, 'adjusted_mutual_info_score': np.float64(0.19863372742088606), 'mutual_info_score': np.float64(0.2702496328256697), 'labels': array([2, 2, 0, 2, 2, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0,
       0, 2, 0, 2, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1,
       0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]), 'centroids': array([[ 0.09716868,  0.04054688],
       [-0.11939612, -0.21663441],
       [-0.0800223 ,  0.21682659]])}, 'sklearn': {'silhouette': np.float64(0.4837742629718835), 'davies_bouldin': np.float64(0.8008600216262326), 'calinski_harabasz': np.float64(42.706498711779716), 'adjusted_rand_score': 0.08641038028849472, 'adjusted_mutual_info_score': np.float64(0.31306016824752547), 'mutual_info_score': np.float64(0.32898994534276627), 'labels': array([2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,
       0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1,
       0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], dtype=int32), 'centroids': array([[ 0.05994722,  0.07888617],
       [-0.10549123, -0.21475468],
       [-0.22675131,  0.42300295]])}}","{'custom': {'silhouette': np.float64(0.7178811916276839), 'davies_bouldin': np.float64(0.40077967116144536), 'calinski_harabasz': np.float64(428.76435758319775), 'adjusted_rand_score': -1, 'adjusted_mutual_info_score': -1, 'mutual_info_score': -1, 'labels': array([1, 1, 0, 3, 0, 3, 3, 3, 3, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
       1, 3, 1, 1, 1, 1, 1, 1, 0, 3, 0, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1,
       1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 0, 4, 2, 0, 1, 1, 1, 1, 1,
       1, 4]), 'centroids': array([[ 4.71333333e+00,  2.30843333e+04,  5.66666667e+00,
         5.66666667e+00,  6.66666667e-01,  9.12666667e+02,
         1.33666667e+02,  2.17900000e-02,  2.60000000e-01,
         7.43333333e+01,  8.44333333e+00,  3.45629667e+01,
        -1.11252267e+02,  6.00000000e+00,  8.50536667e+04,
        -4.00000000e+02],
       [ 4.45720930e+00,  7.05186047e+02,  5.41860465e+00,
         5.32558140e+00,  0.00000000e+00,  5.28767442e+02,
         3.62093023e+01,  1.39813953e-01,  4.23953488e-01,
         4.97441860e+01,  4.43783023e+00,  3.21261093e+01,
        -9.99569302e+01,  1.36976744e+01,  7.80768372e+04,
        -3.25116279e+02],
       [ 4.80000000e+00,  1.83786000e+05,  6.00000000e+00,
         6.00000000e+00,  1.00000000e+00,  9.04000000e+02,
         2.45000000e+02,  6.84000000e-01,  6.30000000e-01,
         5.40000000e+01,  2.62400000e+00,  4.06834000e+01,
        -7.47526000e+01,  0.00000000e+00,  8.83300000e+03,
        -2.40000000e+02],
       [ 4.47937500e+00,  2.57250000e+03,  5.18750000e+00,
         5.12500000e+00,  3.12500000e-01,  6.06312500e+02,
         7.46875000e+01,  8.34975000e-02,  3.01875000e-01,
         3.03125000e+01,  1.10923750e+01,  3.67725437e+01,
        -1.19447625e+02,  1.80000000e+01,  9.32245000e+04,
        -4.23750000e+02],
       [ 3.65000000e+00,  6.99650000e+03,  5.00000000e+00,
         4.50000000e+00,  0.00000000e+00,  7.30000000e+02,
         6.00000000e+01,  7.52500000e-01,  5.10000000e-01,
         7.65000000e+01,  4.55550000e+00,  4.12138500e+01,
        -7.78741000e+01,  7.00000000e+00,  2.64575000e+04,
        -2.40000000e+02]])}, 'sklearn': {'silhouette': np.float64(0.6231282397819944), 'davies_bouldin': np.float64(0.39351511195050515), 'calinski_harabasz': np.float64(230.00159028659317), 'adjusted_rand_score': -1, 'adjusted_mutual_info_score': -1, 'mutual_info_score': -1, 'labels': array([0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
       0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0,
       0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 3, 1, 2, 0, 0, 0, 0, 0,
       0, 4], dtype=int32), 'centroids': array([[ 4.45720930e+00,  7.05186047e+02,  5.41860465e+00,
         5.32558140e+00, -8.32667268e-17,  5.28767442e+02,
         3.62093023e+01,  1.39813953e-01,  4.23953488e-01,
         4.97441860e+01,  4.43783023e+00,  3.21261093e+01,
        -9.99569302e+01,  1.36976744e+01,  7.80768372e+04,
        -3.25116279e+02],
       [ 4.80000000e+00,  1.83786000e+05,  6.00000000e+00,
         6.00000000e+00,  1.00000000e+00,  9.04000000e+02,
         2.45000000e+02,  6.84000000e-01,  6.30000000e-01,
         5.40000000e+01,  2.62400000e+00,  4.06834000e+01,
        -7.47526000e+01,  0.00000000e+00,  8.83300000e+03,
        -2.40000000e+02],
       [ 4.54318182e+00,  8.16663636e+03,  5.31818182e+00,
         5.27272727e+00,  4.09090909e-01,  6.89863636e+02,
         9.07727273e+01,  6.66681818e-02,  2.90454545e-01,
         4.23181818e+01,  1.03699091e+01,  3.61699318e+01,
        -1.17212527e+02,  1.47272727e+01,  9.09960909e+04,
        -4.17272727e+02],
       [ 3.70000000e+00,  1.25890000e+04,  5.00000000e+00,
         4.00000000e+00,  0.00000000e+00,  7.21000000e+02,
         3.40000000e+01,  6.76000000e-01,  3.10000000e-01,
         1.06000000e+02,  4.11100000e+00,  4.06849000e+01,
        -7.47347000e+01,  7.00000000e+00,  8.85800000e+03,
        -2.40000000e+02],
       [ 3.60000000e+00,  1.40400000e+03,  5.00000000e+00,
         5.00000000e+00,  0.00000000e+00,  7.39000000e+02,
         8.60000000e+01,  8.29000000e-01,  7.10000000e-01,
         4.70000000e+01,  5.00000000e+00,  4.17428000e+01,
        -8.10135000e+01,  7.00000000e+00,  4.40570000e+04,
        -2.40000000e+02]])}}"
